species_name,IPS1,IPS2.1,IPS2.2,IPS2.3,Cyprinus carpio,other
Pond1_1,893,12,217,13550,687,1123
Pond1_2,340,24,725,6644,169,1755
Pond1_3,1003,721,1994,4958,1936,1941
Pond2_1,1709,1256,1830,5119,1246,9965
Pond2_2,1740,1460,2005,6008,4381,10834
Pond2_3,1545,410,2130,4675,2867,8364
Pond3_1,1670,237,1423,3741,1594,1964
Pond3_2,1821,187,1527,4397,1234,23708
Pond3_3,922,67,369,9225,469,2377
Pond4_1,529,40,647,3648,363,1692
Pond4_2,854,601,1481,3673,1420,8578
Pond4_3,1462,330,1564,3130,746,2393
Pond5_1,1733,69,549,4531,491,1318
Pond5_2,1454,260,910,2271,868,1380
Pond5_3,1035,350,1092,5143,898,2353
Ctrl_filter_1,16618,812,3876,5455,18,1887
Ctrl_filter_2,15467,650,4298,11932,44,627
Ctrl_filter_3,10116,29,4504,7140,17,500
Ctrl_water_1,0,5,7,16,4,44
Ctrl_water_2,5,0,3,9,11,83
Ctrl_water_3,1,0,14,15,180,3
Ctrl_PCR2_1,30,592,3500,2372,57,728
Ctrl_PCR2_2,28,902,2105,8008,193,2143
Ctrl_PCR2_3,16,32,10123,16465,289,1550
Ctrl_PCR1_1,7,314,3187,9396,26,345
Ctrl_PCR1_2,4,463,6337,8517,98,1947
Ctrl_PCR1_3,5,393,2075,6339,11,165
